,Link,Position,Company,Company Link,Location,Salary,Published Date
18,https://www.jobstreet.co.id/id/job/data-engineer-3740706?jobId=jobstreet-id-job-3740706&sectionRank=19&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,DATA ENGINEER,PT Phiraka Sinergi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-phiraka-sinergi-indonesia/,PT Phiraka Sinergi Indonesia,NA,2022-01-13T20:01:59.000Z
19,https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-3740278?jobId=jobstreet-id-job-3740278&sectionRank=20&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer (ETL Developer),PT Lawencon Internasional,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-lawencon-internasional/,PT Lawencon Internasional,NA,2022-01-12T20:00:37.000Z
20,https://www.jobstreet.co.id/id/job/machine-learning-engineer-3745053?jobId=jobstreet-id-job-3745053&sectionRank=21&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Machine Learning Engineer,PT Nomura Research Institute Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-nomura-research-institute-indonesia/,PT Nomura Research Institute Indonesia,NA,2022-01-15T20:00:51.000Z
21,https://www.jobstreet.co.id/id/job/senior-data-engineer-3737784?jobId=jobstreet-id-job-3737784&sectionRank=22&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Engineer,PT. Lintas Teknologi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-lintas-teknologi-indonesia/,PT. Lintas Teknologi Indonesia,NA,2022-01-14T20:30:54.000Z
22,https://www.jobstreet.co.id/id/job/etl-developer-3737040?jobId=jobstreet-id-job-3737040&sectionRank=23&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Magna Solusi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-magna-solusi-indonesia/,PT Magna Solusi Indonesia,NA,2022-01-14T20:31:07.000Z
23,https://www.jobstreet.co.id/id/job/data-scientist-3758690?jobId=jobstreet-id-job-3758690&sectionRank=24&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Scientist,PT Talentvis Consulting Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-talentvis-consulting-indonesia/,PT Talentvis Consulting Indonesia,NA,2022-01-17T07:49:36.000Z
24,https://www.jobstreet.co.id/id/job/it-data-engineer-3734858?jobId=jobstreet-id-job-3734858&sectionRank=25&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,IT Data Engineer,PT Foods Beverages Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-foods-beverages-indonesia/,PT Foods Beverages Indonesia,NA,2022-01-12T20:30:55.000Z
25,https://www.jobstreet.co.id/id/job/data-lead-3745687?jobId=jobstreet-id-job-3745687&sectionRank=26&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Lead,PT. Ruang Dagang Internasional,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-ruang-dagang-internasional/,PT. Ruang Dagang Internasional,NA,2022-01-15T20:00:36.000Z
26,https://www.jobstreet.co.id/id/job/data-engineer-greenplum-3739051?jobId=jobstreet-id-job-3739051&sectionRank=27&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer (Greenplum),PT Jasa Teknologi Informasi IBM,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-jasa-teknologi-informasi-ibm/,PT Jasa Teknologi Informasi IBM,NA,2022-01-12T20:02:19.000Z
27,https://www.jobstreet.co.id/id/job/data-engineer-3751640?jobId=jobstreet-id-job-3751640&sectionRank=28&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT KOMUNITAS ANAK BANGSA,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-komunitas-anak-bangsa/,PT KOMUNITAS ANAK BANGSA,NA,2022-01-11T09:13:44.000Z
28,https://www.jobstreet.co.id/id/job/data-analis-3749786?jobId=jobstreet-id-job-3749786&sectionRank=29&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,DATA ANALIS,Marketing Sentratama Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-marketing-sentratama-indonesia/,Marketing Sentratama Indonesia,NA,2022-01-10T10:08:33.000Z
29,https://www.jobstreet.co.id/id/job/data-engineer-3750344?jobId=jobstreet-id-job-3750344&sectionRank=30&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,Argon Group,https://www.jobstreet.co.id/id/job-search/jobs-at-argon-group/,Argon Group,NA,2022-01-11T02:27:07.000Z
30,https://www.jobstreet.co.id/id/job/data-warehouse-engineer-3757510?jobId=jobstreet-id-job-3757510&sectionRank=1&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Warehouse Engineer,PT PEFINDO Biro Kredit,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-pefindo-biro-kredit/,PT PEFINDO Biro Kredit,NA,2022-01-16T17:42:32.000Z
31,https://www.jobstreet.co.id/id/job/data-engineer-3750622?jobId=jobstreet-id-job-3750622&sectionRank=2&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Solusi Pintap Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-solusi-pintap-indonesia/,PT Solusi Pintap Indonesia,NA,2022-01-11T03:46:39.000Z
32,https://www.jobstreet.co.id/id/job/etl-developer-3753016?jobId=jobstreet-id-job-3753016&sectionRank=3&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Asian Sigma Teknologi (SIGMATECH),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-asian-sigma-teknologi-sigmatech/,PT Asian Sigma Teknologi (SIGMATECH),NA,2022-01-12T07:45:00.000Z
33,https://www.jobstreet.co.id/id/job/data-engineer-3746172?jobId=jobstreet-id-job-3746172&sectionRank=4&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Inti Citra Agung (Optik Melawai),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-inti-citra-agung-optik-melawai/,PT Inti Citra Agung (Optik Melawai),NA,2022-01-16T20:00:58.000Z
34,https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-3746332?jobId=jobstreet-id-job-3746332&sectionRank=5&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer / ETL Developer,PT. HTC Global Software Services,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-htc-global-software-services/,PT. HTC Global Software Services,NA,2022-01-16T20:00:54.000Z
35,https://www.jobstreet.co.id/id/job/data-engineer-3747192?jobId=jobstreet-id-job-3747192&sectionRank=6&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,"PT. Metrodata Electronics, Tbk",https://www.jobstreet.co.id/id/job-search/jobs-at-pt-metrodata-electronics-tbk/,"PT. Metrodata Electronics, Tbk",NA,2022-01-16T20:00:39.000Z
36,https://www.jobstreet.co.id/id/job/data-engineer-3746559?jobId=jobstreet-id-job-3746559&sectionRank=7&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Serasi Autoraya (TRAC - Astra ),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-serasi-autoraya-trac-astra/,PT Serasi Autoraya (TRAC - Astra ),NA,2022-01-16T20:00:49.000Z
37,https://www.jobstreet.co.id/id/job/data-engineer-3759154?jobId=jobstreet-id-job-3759154&sectionRank=8&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Sinergie Sentra Digital,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-sinergie-sentra-digital/,PT Sinergie Sentra Digital,NA,2022-01-17T10:46:10.000Z
38,https://www.jobstreet.co.id/id/job/senior-data-scientist-3740874?jobId=jobstreet-id-job-3740874&sectionRank=9&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Scientist,PT Sharing Vision Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-sharing-vision-indonesia/,PT Sharing Vision Indonesia,NA,2022-01-13T20:01:52.000Z
39,https://www.jobstreet.co.id/id/job/etl-developer-3747271?jobId=jobstreet-id-job-3747271&sectionRank=10&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Artha Solutions Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-artha-solutions-indonesia/,PT Artha Solutions Indonesia,NA,2022-01-16T20:00:38.000Z
40,https://www.jobstreet.co.id/id/job/data-engineer-3742816?jobId=jobstreet-id-job-3742816&sectionRank=11&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Tech Mahindra Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-tech-mahindra-indonesia/,PT Tech Mahindra Indonesia,NA,2022-01-14T20:01:00.000Z
41,https://www.jobstreet.co.id/id/job/senior-data-engineer-3747661?jobId=jobstreet-id-job-3747661&sectionRank=12&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Engineer,Yayasan Bina Nusantara,https://www.jobstreet.co.id/id/job-search/jobs-at-yayasan-bina-nusantara/,Yayasan Bina Nusantara,NA,2022-01-16T20:00:33.000Z
42,https://www.jobstreet.co.id/id/job/etl-developer-3738414?jobId=jobstreet-id-job-3738414&sectionRank=13&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT IDStar Cipta Teknologi,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-idstar-cipta-teknologi/,PT IDStar Cipta Teknologi,NA,2022-01-15T20:01:14.000Z
43,https://www.jobstreet.co.id/id/job/data-engineer-3756818?jobId=jobstreet-id-job-3756818&sectionRank=14&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT. ABeam Analytics Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-abeam-analytics-indonesia/,PT. ABeam Analytics Indonesia,NA,2022-01-14T10:45:26.000Z
44,https://www.jobstreet.co.id/id/job/data-engineer-3756035?jobId=jobstreet-id-job-3756035&sectionRank=15&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Mega Perintis Tbk,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-mega-perintis-tbk/,PT Mega Perintis Tbk,NA,2022-01-14T05:35:39.000Z
45,https://www.jobstreet.co.id/id/job/database-engineer-3758764?jobId=jobstreet-id-job-3758764&sectionRank=16&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Database Engineer,PT Arya Noble,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-arya-noble/,PT Arya Noble,NA,2022-01-17T08:11:57.000Z
46,https://www.jobstreet.co.id/id/job/data-engineer-3753840?jobId=jobstreet-id-job-3753840&sectionRank=17&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Nomura Research Institute Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-nomura-research-institute-indonesia/,PT Nomura Research Institute Indonesia,NA,2022-01-13T01:34:33.000Z
47,https://www.jobstreet.co.id/id/job/data-engineer-3755426?jobId=jobstreet-id-job-3755426&sectionRank=18&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT KOLTIVA,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-koltiva/,PT KOLTIVA,NA,2022-01-14T01:23:59.000Z
48,https://www.jobstreet.co.id/id/job/data-engineer-3740706?jobId=jobstreet-id-job-3740706&sectionRank=19&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,DATA ENGINEER,PT Phiraka Sinergi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-phiraka-sinergi-indonesia/,PT Phiraka Sinergi Indonesia,NA,2022-01-13T20:01:59.000Z
49,https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-3740278?jobId=jobstreet-id-job-3740278&sectionRank=20&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer (ETL Developer),PT Lawencon Internasional,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-lawencon-internasional/,PT Lawencon Internasional,NA,2022-01-12T20:00:37.000Z
50,https://www.jobstreet.co.id/id/job/machine-learning-engineer-3745053?jobId=jobstreet-id-job-3745053&sectionRank=21&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Machine Learning Engineer,PT Nomura Research Institute Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-nomura-research-institute-indonesia/,PT Nomura Research Institute Indonesia,NA,2022-01-15T20:00:51.000Z
51,https://www.jobstreet.co.id/id/job/senior-data-engineer-3737784?jobId=jobstreet-id-job-3737784&sectionRank=22&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Engineer,PT. Lintas Teknologi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-lintas-teknologi-indonesia/,PT. Lintas Teknologi Indonesia,NA,2022-01-14T20:30:54.000Z
52,https://www.jobstreet.co.id/id/job/etl-developer-3737040?jobId=jobstreet-id-job-3737040&sectionRank=23&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Magna Solusi Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-magna-solusi-indonesia/,PT Magna Solusi Indonesia,NA,2022-01-14T20:31:07.000Z
53,https://www.jobstreet.co.id/id/job/data-scientist-3758690?jobId=jobstreet-id-job-3758690&sectionRank=24&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Scientist,PT Talentvis Consulting Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-talentvis-consulting-indonesia/,PT Talentvis Consulting Indonesia,NA,2022-01-17T07:49:36.000Z
54,https://www.jobstreet.co.id/id/job/it-data-engineer-3734858?jobId=jobstreet-id-job-3734858&sectionRank=25&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,IT Data Engineer,PT Foods Beverages Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-foods-beverages-indonesia/,PT Foods Beverages Indonesia,NA,2022-01-12T20:30:55.000Z
55,https://www.jobstreet.co.id/id/job/data-lead-3745687?jobId=jobstreet-id-job-3745687&sectionRank=26&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Lead,PT. Ruang Dagang Internasional,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-ruang-dagang-internasional/,PT. Ruang Dagang Internasional,NA,2022-01-15T20:00:36.000Z
56,https://www.jobstreet.co.id/id/job/data-engineer-greenplum-3739051?jobId=jobstreet-id-job-3739051&sectionRank=27&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer (Greenplum),PT Jasa Teknologi Informasi IBM,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-jasa-teknologi-informasi-ibm/,PT Jasa Teknologi Informasi IBM,NA,2022-01-12T20:02:19.000Z
57,https://www.jobstreet.co.id/id/job/data-engineer-3751640?jobId=jobstreet-id-job-3751640&sectionRank=28&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT KOMUNITAS ANAK BANGSA,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-komunitas-anak-bangsa/,PT KOMUNITAS ANAK BANGSA,NA,2022-01-11T09:13:44.000Z
58,https://www.jobstreet.co.id/id/job/data-analis-3749786?jobId=jobstreet-id-job-3749786&sectionRank=29&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,DATA ANALIS,Marketing Sentratama Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-marketing-sentratama-indonesia/,Marketing Sentratama Indonesia,NA,2022-01-10T10:08:33.000Z
59,https://www.jobstreet.co.id/id/job/data-engineer-3750344?jobId=jobstreet-id-job-3750344&sectionRank=30&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,Argon Group,https://www.jobstreet.co.id/id/job-search/jobs-at-argon-group/,Argon Group,NA,2022-01-11T02:27:07.000Z
60,https://www.jobstreet.co.id/id/job/business-intelligence-bi-developer-3745823?jobId=jobstreet-id-job-3745823&sectionRank=31&token=0~48c1bdcb-172d-45fb-ab31-7e895df4a52c&fr=SRP%20View%20In%20New%20Tab,BUSINESS INTELLIGENCE (BI) DEVELOPER,PT Lawencon Internasional,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-lawencon-internasional/,PT Lawencon Internasional,NA,2022-01-15T20:00:35.000Z
61,https://www.jobstreet.co.id/id/job/data-scientist-3745876?jobId=jobstreet-id-job-3745876&sectionRank=32&token=0~48c1bdcb-172d-45fb-ab31-7e895df4a52c&fr=SRP%20View%20In%20New%20Tab,Data Scientist,PT Solubis Sukses Gemilang,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-solubis-sukses-gemilang/,PT Solubis Sukses Gemilang,NA,2022-01-15T20:00:34.000Z
62,https://www.jobstreet.co.id/id/job/database-engineer-3741607?jobId=jobstreet-id-job-3741607&sectionRank=33&token=0~48c1bdcb-172d-45fb-ab31-7e895df4a52c&fr=SRP%20View%20In%20New%20Tab,Database Engineer,PT. Circleka Indonesia Utama,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-circleka-indonesia-utama/,PT. Circleka Indonesia Utama,NA,2022-01-13T20:00:52.000Z
63,https://www.jobstreet.co.id/id/job/it-infrastructure-specialist-data-engineer-3751039?jobId=jobstreet-id-job-3751039&sectionRank=34&token=0~48c1bdcb-172d-45fb-ab31-7e895df4a52c&fr=SRP%20View%20In%20New%20Tab,IT Infrastructure Specialist (Data Engineer),PT Bussan Auto Finance (BAF),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-bussan-auto-finance-baf/,PT Bussan Auto Finance (BAF),NA,2022-01-11T06:20:59.000Z
